,config,type,scheduling,modulation,periodicity,bias,modem,iteration,index,throughput,latency
5,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,5,6.59,
6,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,6,6.56,
7,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,7,6.57,
8,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,8,6.58,
9,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,9,6.59,
10,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,10,6.58,
11,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,11,6.57,
12,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,12,6.7,
13,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,13,6.61,
14,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,14,6.56,
15,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,15,6.56,
16,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,16,6.61,
17,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,17,6.56,
18,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,18,6.63,
19,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,19,6.54,
20,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,20,6.55,
21,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,21,6.59,
22,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,22,6.65,
23,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,23,6.54,
24,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,24,6.56,
25,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,25,6.52,
26,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,26,6.52,
27,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,27,6.52,
28,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,28,6.59,
29,FS-16QAM-10-slot-BAL,DL,FS,16QAM,10,BAL,0,1,29,6.46,
35,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,0,1,5,,12.8
36,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,0,1,6,,11.6
37,FS-16QAM-10-slot-BAL,RTT,FS,16QAM,10,BAL,0,1,7,,10.2
